epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,1.48478,3.52651,0.06,0.12,3.52968,1.176e-05,1.176e-05,1.176e-05
2,2.2429,3.5424,0.06,0.14,3.46784,2.51502e-05,2.51502e-05,2.51502e-05
3,2.67608,3.5152,0.06,0.2,3.40605,3.70852e-05,3.70852e-05,3.70852e-05
4,3.06018,3.46987,0.06,0.24,3.40263,4.75648e-05,4.75648e-05,4.75648e-05
5,3.45382,3.4186,0.08,0.32,3.30704,5.65891e-05,5.65891e-05,5.65891e-05
6,3.84967,3.34518,0.08,0.38,3.27007,6.41581e-05,6.41581e-05,6.41581e-05
7,4.27069,3.26399,0.12,0.4,3.18125,7.02719e-05,7.02719e-05,7.02719e-05
8,4.68223,3.21089,0.14,0.4,3.14529,7.49303e-05,7.49303e-05,7.49303e-05
9,5.11079,3.1412,0.26,0.5,3.03878,7.81334e-05,7.81334e-05,7.81334e-05
10,5.49824,3.04141,0.32,0.62,2.91598,7.98813e-05,7.98813e-05,7.98813e-05
11,14.293,3.00163,0.3,0.7,2.87633,8.01738e-05,8.01738e-05,8.01738e-05
12,14.6531,2.94337,0.38,0.7,2.79868,7.9011e-05,7.9011e-05,7.9011e-05
13,14.9959,2.86751,0.44,0.72,2.77047,7.6393e-05,7.6393e-05,7.6393e-05
14,15.3532,2.85305,0.46,0.8,2.68543,7.23196e-05,7.23196e-05,7.23196e-05
15,15.7226,2.79031,0.48,0.8,2.65108,6.67909e-05,6.67909e-05,6.67909e-05
16,16.0672,2.71864,0.54,0.78,2.57132,5.98069e-05,5.98069e-05,5.98069e-05
17,16.412,2.72476,0.52,0.82,2.54292,5.13677e-05,5.13677e-05,5.13677e-05
18,16.7714,2.66856,0.56,0.84,2.5601,4.14731e-05,4.14731e-05,4.14731e-05
19,17.1112,2.62966,0.56,0.84,2.52781,3.01232e-05,3.01232e-05,3.01232e-05
20,17.4793,2.60955,0.56,0.84,2.50852,1.73181e-05,1.73181e-05,1.73181e-05
